"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"duty1g/x64dbg-mcp-server",1670,"duty1g","https://avatars.githubusercontent.com/u/3162883?v=4","x64dbg-MCP Server is a native MCP (Model Context Protocol) plugin for x64dbg that exposes the debugger's full functionality over HTTP. Connect any MCP-compatible AI assistant and control x64dbg programmatically: set breakpoints, step through code, read memory, dump registers, and more.  Built with Zig — zero dependencies, single-binary output, cros","[""ai-agents"",""ai-debugging"",""binary-analysis"",""claude"",""claude-code"",""malware-analysis"",""malware-research"",""malware-scanner"",""mcp"",""mcp-server"",""mcp-servers"",""x64dbg"",""x64dbg-mcp"",""x64dbg-plugin"",""x64dbg-tools"",""xdbg"",""zig"",""zig-lang"",""ziglang""]","https://github.com/duty1g/x64dbg-mcp-server","2026-08-22T14:28:41Z","2026-08-29T01:42:17Z","2026-08-27T07:00:07Z","git://github.com/duty1g/x64dbg-mcp-server.git","git@github.com:duty1g/x64dbg-mcp-server.git","https://github.com/duty1g/x64dbg-mcp-server.git","https://github.com/duty1g/x64dbg-mcp-server","",1748,"Zig",170,0,"main","MIT License"
"ApodexAI/FrontierAgent",1223,"ApodexAI","https://avatars.githubusercontent.com/u/276468590?v=4","🧩 FrontierAgent, our agent framework, open-sourced alongside it — native command-line TUI, ReAct and Agent Team modes, one command on macOS and Linux, no preinstall, no hard Docker dependency.","[""agent-orchestration"",""agentic-ai"",""agentic-framework"",""ai-agents"",""harness"",""multi-agent"",""terminal-agent"",""tui""]","https://github.com/ApodexAI/FrontierAgent","2026-08-22T05:07:35Z","2026-08-29T01:00:57Z","2026-08-28T18:39:24Z","git://github.com/ApodexAI/FrontierAgent.git","git@github.com:ApodexAI/FrontierAgent.git","https://github.com/ApodexAI/FrontierAgent.git","https://github.com/ApodexAI/FrontierAgent","https://www.apodex.ai",6685,"Python",101,3,"main","Apache License 2.0"
"kgoedecke/doop",488,"kgoedecke","https://avatars.githubusercontent.com/u/5519740?v=4","The open-source alternative to Paper.design. A multiplayer design canvas where humans and AI agents design together, live. MCP built in.","[""ai-agents"",""canvas"",""claude"",""claude-code"",""claude-design"",""design"",""design-tool"",""mcp"",""multiplayer""]","https://github.com/kgoedecke/doop","2026-08-22T15:40:51Z","2026-08-29T01:14:41Z","2026-08-28T20:05:22Z","git://github.com/kgoedecke/doop.git","git@github.com:kgoedecke/doop.git","https://github.com/kgoedecke/doop.git","https://github.com/kgoedecke/doop","https://doop.design",2837,"TypeScript",48,0,"main","GNU Affero General Public License v3.0"
"halofyai/halofy",460,"halofyai","https://avatars.githubusercontent.com/u/264338742?v=4","Halofy is the open access and governance layer for AI agents across your organization. Identity, policy, provenance, audit, and signed erasure.","[""access-control"",""agent-governance"",""agent-memory"",""agent-visibility"",""ai-agents"",""audit-log"",""context-engineering"",""data-governance"",""data-provenance"",""identity-management"",""knowledge-management"",""model-context-protocol"",""multi-agent-systems"",""multi-tenant"",""open-source"",""organizational-context"",""pgvector"",""rbac"",""scoped-access"",""tenant-isolation""]","https://github.com/halofyai/halofy","2026-08-22T06:09:53Z","2026-08-29T01:38:04Z","2026-08-25T06:10:31Z","git://github.com/halofyai/halofy.git","git@github.com:halofyai/halofy.git","https://github.com/halofyai/halofy.git","https://github.com/halofyai/halofy","https://halofy.ai",3238,"TypeScript",39,8,"main","GNU Affero General Public License v3.0"
"XiaoDuoYa/codex-with-chatgpt",342,"XiaoDuoYa","https://avatars.githubusercontent.com/u/113528266?v=4","ChatGPT thinks. Codex works. Use ChatGPT as the planning brain while keeping the Codex harness.","[""ai-agents"",""chatgpt"",""codex"",""mcp"",""model-context-protocol"",""oauth""]","https://github.com/XiaoDuoYa/codex-with-chatgpt","2026-08-28T12:57:24Z","2026-08-29T01:53:18Z","2026-08-29T00:49:40Z","git://github.com/XiaoDuoYa/codex-with-chatgpt.git","git@github.com:XiaoDuoYa/codex-with-chatgpt.git","https://github.com/XiaoDuoYa/codex-with-chatgpt.git","https://github.com/XiaoDuoYa/codex-with-chatgpt",,140,"TypeScript",37,1,"main","MIT License"
"tt-a1i/simplify-codebase",321,"tt-a1i","https://avatars.githubusercontent.com/u/53142663?v=4","Prove and remove accidental codebase complexity without breaking behavior.","[""agent-skills"",""ai-agents"",""code-quality"",""codebase"",""codex"",""developer-tools"",""refactoring""]","https://github.com/tt-a1i/simplify-codebase","2026-08-24T07:52:08Z","2026-08-29T01:33:56Z","2026-08-27T13:47:03Z","git://github.com/tt-a1i/simplify-codebase.git","git@github.com:tt-a1i/simplify-codebase.git","https://github.com/tt-a1i/simplify-codebase.git","https://github.com/tt-a1i/simplify-codebase",,1594,,10,0,"main","MIT License"
"OnlyTerp/opengrok",254,"OnlyTerp","https://avatars.githubusercontent.com/u/121772140?v=4","Run any model in Grok Bot — one-command setup, model picker UI, evidence-based provider wire maps, and an update-proof doctor. Not farming you, arming you.","[""ai-agents"",""grok"",""llm"",""model-router"",""openai-compatible"",""windows""]","https://github.com/OnlyTerp/opengrok","2026-08-27T18:30:44Z","2026-08-29T01:59:14Z","2026-08-28T20:41:01Z","git://github.com/OnlyTerp/opengrok.git","git@github.com:OnlyTerp/opengrok.git","https://github.com/OnlyTerp/opengrok.git","https://github.com/OnlyTerp/opengrok","https://github.com/OnlyTerp/opengrok#-quick-start",2779,"Python",28,0,"main","MIT License"
"truespar/sentio",225,"truespar","https://avatars.githubusercontent.com/u/264198848?v=4","Email inbox API for AI agents. Give every agent its own real email address, receive mail as structured webhooks, and reply in-thread over REST. A complete multi-tenant mail server in Rust: inbound and outbound, DKIM/SPF/DMARC/ARC, MTA-STS, DANE, three-tier anti-spam.","[""ai-agents"",""ai-tools"",""dkim"",""dmarc"",""email"",""email-automation"",""mailserver"",""rust"",""smtp-library"",""smtp-relay"",""smtp-server""]","https://github.com/truespar/sentio","2026-08-23T21:36:25Z","2026-08-28T23:51:13Z","2026-08-25T06:12:11Z","git://github.com/truespar/sentio.git","git@github.com:truespar/sentio.git","https://github.com/truespar/sentio.git","https://github.com/truespar/sentio","https://truespar.com/sentio",1806,"Rust",16,0,"main","Other"
"acryldev/acryl",219,"acryldev","https://avatars.githubusercontent.com/u/321071188?v=4","ACRYL - Agent Context Relay Yielding Lifecycles. One persistent workspace, one canonical context, any coding agent.","[""acryl"",""agent-context-relay"",""agentic-development-environment"",""ai-agents"",""cordis"",""deepseek-harness""]","https://github.com/acryldev/acryl","2026-08-25T15:53:56Z","2026-08-28T19:39:52Z","2026-08-28T02:00:08Z","git://github.com/acryldev/acryl.git","git@github.com:acryldev/acryl.git","https://github.com/acryldev/acryl.git","https://github.com/acryldev/acryl","https://acryl.dev",6053,"TypeScript",13,0,"main","MIT License"
"Merit-Systems/OpenInstinct",197,"Merit-Systems","https://avatars.githubusercontent.com/u/175159267?v=4","iMessage personal assistant + password vault","[""agent"",""ai"",""ai-agents"",""imessage""]","https://github.com/Merit-Systems/OpenInstinct","2026-08-25T14:42:47Z","2026-08-29T01:08:29Z","2026-08-28T22:34:15Z","git://github.com/Merit-Systems/OpenInstinct.git","git@github.com:Merit-Systems/OpenInstinct.git","https://github.com/Merit-Systems/OpenInstinct.git","https://github.com/Merit-Systems/OpenInstinct","coming-soon.com",3349,"TypeScript",26,15,"main","MIT License"
